2025-03-04 21:27:06,605 - Server - INFO - Expecting 89120 bytes from client ('127.0.0.1', 63771)
2025-03-04 21:27:06,606 - Server - ERROR - Error handling client ('127.0.0.1', 63771): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:27:16,609 - Server - INFO - Client connected from ('127.0.0.1', 63782)
2025-03-04 21:27:16,611 - Server - INFO - Sent global model to client ('127.0.0.1', 63782)
2025-03-04 21:27:16,814 - Server - INFO - Expecting 89083 bytes from client ('127.0.0.1', 63782)
2025-03-04 21:27:16,814 - Server - ERROR - Error handling client ('127.0.0.1', 63782): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:27:26,817 - Server - INFO - Client connected from ('127.0.0.1', 63790)
2025-03-04 21:27:26,819 - Server - INFO - Sent global model to client ('127.0.0.1', 63790)
2025-03-04 21:27:27,034 - Server - INFO - Expecting 89035 bytes from client ('127.0.0.1', 63790)
2025-03-04 21:27:27,035 - Server - ERROR - Error handling client ('127.0.0.1', 63790): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:27:37,037 - Server - INFO - Client connected from ('127.0.0.1', 63794)
2025-03-04 21:27:37,039 - Server - INFO - Sent global model to client ('127.0.0.1', 63794)
2025-03-04 21:27:37,228 - Server - INFO - Expecting 89123 bytes from client ('127.0.0.1', 63794)
2025-03-04 21:27:37,229 - Server - ERROR - Error handling client ('127.0.0.1', 63794): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:27:47,231 - Server - INFO - Client connected from ('127.0.0.1', 63800)
2025-03-04 21:27:47,233 - Server - INFO - Sent global model to client ('127.0.0.1', 63800)
2025-03-04 21:27:47,438 - Server - INFO - Expecting 89087 bytes from client ('127.0.0.1', 63800)
2025-03-04 21:27:47,438 - Server - ERROR - Error handling client ('127.0.0.1', 63800): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:27:57,442 - Server - INFO - Client connected from ('127.0.0.1', 63806)
2025-03-04 21:27:57,444 - Server - INFO - Sent global model to client ('127.0.0.1', 63806)
2025-03-04 21:27:57,634 - Server - INFO - Expecting 89122 bytes from client ('127.0.0.1', 63806)
2025-03-04 21:27:57,634 - Server - ERROR - Error handling client ('127.0.0.1', 63806): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:28:07,637 - Server - INFO - Client connected from ('127.0.0.1', 63810)
2025-03-04 21:28:07,639 - Server - INFO - Sent global model to client ('127.0.0.1', 63810)
2025-03-04 21:28:07,843 - Server - INFO - Expecting 89061 bytes from client ('127.0.0.1', 63810)
2025-03-04 21:28:07,843 - Server - ERROR - Error handling client ('127.0.0.1', 63810): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:28:17,846 - Server - INFO - Client connected from ('127.0.0.1', 63816)
